"ID";"ARTICLE";"SECTION_NAME";"NAME";"DESCRIPTION";"PRICE";"URL";"SALES";"PREORDER"
"58071";"nsv0041512";"Пылесосы";"Пылесос Thomas Mokko Aqua-Box XT [788592]";"моющий, пылесборник: аквафильтр, мощность всасывания: 320 Вт, потребление: 1600 Вт, труба: сталь, регулировка мощности на корпусе, шум 81 дБ";"1157.43 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/thomas-mokko-aqua-box-xt-788592/";"Y";"N"
"58082";"nsv0041517";"Пылесосы";"Пылесос Thomas AQUA+ Pet &amp; Family 788563";"моющий, пылесборник: мешок+аквафильтр, потребление: 1700 Вт, труба: сталь, регулировка мощности на корпусе, турбощетка";"1348.08 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/pylesos-thomas-aqua-plus-pet-family-788563/";"N";"N"
"58114";"nsv0041551";"Пылесосы";"Пылесос LG VK69662N (синий, черный)";"с контейнером, пылесборник: контейнер, мощность всасывания: 350 Вт, потребление: 1600 Вт, без регулировки мощности, шум 80 дБ";"298.15 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/lg-vk69662n/";"Y";"N"
"58115";"nsv0041578";"Машинки для стрижки волос";"Машинка для стрижки Philips HC5612/15";"для прически/для бороды и усов, длина стрижки: 0.5—28 мм, питание от сети/от аккумулятора, автономная работа: 1 час 15 минут, влажная чистка, не требует смазки";"167.24 BYN";"/catalog/tekhnika-dlja-ukhoda-za-volosami-i-telom/mashinki-dlja-strizhki-volos/philips-hc5612-15/";"N";"N"
"58151";"nsv0041515";"Пылесосы";"Пылесос Thomas Perfect Air Allergy Pure 786526";"с аквафильтром, пылесборник: аквафильтр, потребление: 1700 Вт, труба: сталь, регулировка мощности на корпусе";"1099.00 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/thomas-perfect-air-allergy-pure-786526/";"N";"N"
"58153";"nsv0041510";"Пылесосы";"Пылесос Thomas DryBox Amfibia Pet 788598";"моющий, пылесборник: контейнер+аквафильтр, потребление: 1700 Вт, регулировка мощности на корпусе, турбощетка";"1660.50 BYN";"/catalog/tekhnika-dlja-uborki/pylesosy/thomas-drybox-amfibia-pet-788598/";"Y";"N"
"58187";"nsv0041634";"Стиральные машины";"Стиральная машина ATLANT СМА 60С1010-00";"автоматическая стиральная машина, загрузка до 6 кг, отжим 1000 об/мин, глубина 48.2 см, энергопотребление A++, защита от протечек, 16 программ";"961.00 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/stiralnye-mashiny/atlant-sma-60s1010-00/";"N";"N"
"58196";"nsv0041683";"Чайники и термопоты";"Электрочайник Xiaomi Mi Smart Kettle Pro BHR4198GL";"1800 Вт, объем 1.5 л, терморегулятор, цвет белый/нержавеющая сталь";"198.00 BYN";"/catalog/tekhnika-dlja-prigotovlenija-napitkov/chajniki-i-termopoty/xiaomi-mi-smart-kettle-pro-mjhwsh02ym-evropejskaja-vilka/";"N";"N"
"58243";"nsv0041736";"Водонагреватели";"Накопительный электрический водонагреватель Electrolux EWH 80 Major LZR 3";"накопительный, исполнение: стандартный, электричество, 80 л, 2 кВт, 130 мин, 99.8?49.6?30.6 см";"1140.00 BYN";"/catalog/klimaticheskaja-tekhnika/vodonagrevateli/electrolux-ewh-80-major-lzr-3/";"N";"N"
"58246";"nsv0041739";"Духовые шкафы";"Электрический духовой шкаф GEFEST ДА 602-01 А";"электрический статический, объем 52 л, очистка ручная";"523.38 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/dukhovye-shkafy/gefest-da-602-01-a/";"N";"N"
"58248";"nsv0041741";"Духовые шкафы";"Газовый духовой шкаф GEFEST 621-01";"газовый статический, объем 52 л, 3 режима, очистка ручная, проволочные направляющие";"772.92 BYN";"/catalog/krupnaja-tekhnika-dlja-kukhni/dukhovye-shkafy/gefest-621-01/";"N";"N"
